counter_Bits,gcc_miss_rate,jpeg_miss_Rate,perl_miss_rate
1,45.24,50.02,47.66
2,43.01,30.98,47.98
3,41.57,29.12,48.65
4,41.68,28.14,46.74
5,41.33,28,47.55
6,41.94,27.94,47.69
